date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:45:45	58657/58657	---MC-	200	added ('OK')	text/javascript	date:Fri,%2021%20Jul%202017%2017:13:13%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:45:51	33607/33607	---M--	200	added ('OK')	application/pdf	etag:%22e0524b6491d2cb1:23e1%22	http://www.ecatsbridge.com/Documents/files/WBFInformation/policies-regulations/EBLSystemsPolicy.pdf	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/Documents/files/WBFInformation/policies-regulations/EBLSystemsPolicy.pdf	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:45:53	98537/98537	---M--	200	added ('OK')	application/pdf	etag:%22305ebec5e175cb1:23e1%22	http://www.ecatsbridge.com/Documents/files/WBFInformation/Constitution/WBFBy-Laws2010.pdf	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/Documents/files/WBFInformation/Constitution/WBFBy-Laws2010.pdf	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:45:59	49917/49917	---M--	200	added ('OK')	application/pdf	etag:%220a366a48260c21:23e1%22	http://www.ecatsbridge.com/Documents/files/WBFInformation/policies-regulations/WBFAlertingPolicy.pdf	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/Documents/files/WBFInformation/policies-regulations/WBFAlertingPolicy.pdf	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:00	23256/23256	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:45:57%20GMT	http://www.ecatsbridge.com/documents/docdefault.asp?page=Reports%5FMinutes&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5CWBFInformation	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/documents/docdefaultee46.html	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:01	23202/23202	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:45:58%20GMT	http://www.ecatsbridge.com/Documents/wbfinfo/WBFlawscommitte/default.asp	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/Documents/wbfinfo/WBFlawscommitte/default.html	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:02	18955/18955	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:45:59%20GMT	http://www.ecatsbridge.com/Documents/wbfinfo/wbn/default.asp	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/Documents/wbfinfo/wbn/default.html	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:03	16246/16246	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:46:00%20GMT	http://www.ecatsbridge.com/Documents/wbfinfo/systemsinfo/conventioncards.asp	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/Documents/wbfinfo/systemsinfo/conventioncards.html	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:04	43285/43285	---M--	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202017%2017:46:01%20GMT	http://www.ecatsbridge.com/Documents/wbfinfo/zones.asp	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/Documents/wbfinfo/zones.html	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
17:46:05	189/189	---M--	200	added ('OK')	image/gif	etag:%220b881b945c51:23e1%22	http://www.ecatsbridge.com/images/folder_open.gif	E:/bridge/sistemeJuniori/juniori%202017/arbitraj/legi%202017/www.ecatsbridge.com/images/folder_open.gif	(from http://www.ecatsbridge.com/documents/docdefault.asp?page=Laws&start=c%3A%5Cinetpub%5Cwwwroot%5Cecatsbridge%5Cdocuments%5Cfiles%5C2017Laws%2FPDF)
